Part Number,Description,Category,Quality Control Group,Material Cost
CCA018,Lids 120mm White Fine Ribbed (FS5-4 Printed SFYP),Caps/Lids,07 Packaging Component,0.48
CCA019,Lids 120-400 White Ribbed Non-Deep Skirt,Caps/Lids,07 Packaging Component,0.41
CCA020,Lids 120-400 White Smooth,Caps/Lids,07 Packaging Component,0.61
CCA021,Lids 180 mL Black Smooth,Caps/Lids,,0.32
CCA022,Lids 33-400 Black Ribbed,Caps/Lids,07 Packaging Component,0.02
CCA023,MRP-470-033,Caps/Lids,,0.00
CCA024,Lids 33-400 White Ribbed,Caps/Lids,07 Packaging Component,0.03
CCA025,Lids 33-400 White Smooth,Caps/Lids,07 Packaging Component,0.03
CCA026,Lids 38-400 Aluminum Ribbed,Caps/Lids,07 Packaging Component,0.00
CCA027,Lids 38-400 Aluminum Smooth,Caps/Lids,07 Packaging Component,0.00
CCA028,Lids 38-400 Black Ribbed SFYP Foam Induction,Caps/Lids,07 Packaging Component,0.04
CCA029,Lids 38-400 Black Ribbed Foil Induction,Caps/Lids,07 Packaging Component,0.04
CCA030,Lids 38-400 Black Smooth Universal Induction Seal,Caps/Lids,07 Packaging Component,0.04
CCA031,Lids 38-400 Black Ribbed CRC (Berry),Caps/Lids,07 Packaging Component,0.00
CCA032,Lids 38-400 Black Ribbed CRC (CPD-08556),Caps/Lids,07 Packaging Component,0.06
CCA033,Lids 38-400 White Ribbed CRC (Mold Rite),Caps/Lids,07 Packaging Component,0.09
CCA034,Lids Universal Induction Seal Green PMS Color #346C,Caps/Lids,07 Packaging Component,0.00
CCA035,Lids 38-400 Orange Smooth,Caps/Lids,07 Packaging Component,0.10
CCA036,Lids 38-400 Red Smooth,Caps/Lids,07 Packaging Component,0.05
CCA037,Lids 38-400 White (SAF-CAPI),Caps/Lids,07 Packaging Component,0.00
CCA038,Lids 38-400 Silver Ribbed Plastic,Caps/Lids,07 Packaging Component,0.00
CCA039,Lids 38-400 Silver Smooth Plastic,Caps/Lids,07 Packaging Component,0.04
CCA040,Lids 38-400 Silver Smooth Tin Metal,Caps/Lids,07 Packaging Component,0.33
CCA041,38-400 Silver Tin Metal cap ribbed HS035 Liner,Caps/Lids,,0.19
CCA042,Lids 38-400 White Ribbed,Caps/Lids,07 Packaging Component,0.04
CCA043,Lids 38-400 White Smooth,Caps/Lids,07 Packaging Component,0.04
CCA044,Lids 45-400 Black Ribbed CRC,Caps/Lids,07 Packaging Component,0.10
CCA045,Lids 45-400 Black Ribbed Universal Induction Seal,Caps/Lids,07 Packaging Component,0.05
CCA046,Lids 45-400 Black Ribbed Foil Induction,Caps/Lids,07 Packaging Component,0.06
CCA047,Lids 45-400 Black Smooth Universal Seal,Caps/Lids,07 Packaging Component,0.05
CCA048,Lids 45-400 Clear Smooth,Caps/Lids,07 Packaging Component,0.11
CCA049,45-400 Custom Green Polypropyle,Caps/Lids,,0.00
CCA050,Lids 45-400 Orange Smooth,Caps/Lids,07 Packaging Component,0.12
CCA051,Lids 45-400 Red Ribbed,Caps/Lids,07 Packaging Component,0.15
CCA052,Lids 45-400 Silver Smooth (C1S 5-10),Caps/Lids,07 Packaging Component,0.07
CCA053,Lids 45-400 White Ribbed Universal Induction Seal,Caps/Lids,07 Packaging Component,0.04
CCA054,Lids 45-400 White Smooth,Caps/Lids,07 Packaging Component,0.10
CCA055,Lids 48mm Black Smooth Heat Induction Seal,Caps/Lids,07 Packaging Component,0.00
CCA056,Lids 53-400 Black Ribbed,Caps/Lids,07 Packaging Component,0.06
CCA057,Lids 53-400 Black Smooth,Caps/Lids,07 Packaging Component,0.05
CCA058,Lids 53-400 White Smooth,Caps/Lids,07 Packaging Component,0.07
CCA059,55mm Black Ribbed,Caps/Lids,,0.00
CCA060,Lids 58mm Black Smooth Heat Induction Seal,Caps/Lids,07 Packaging Component,0.00
CCA061,Lids 63-485 Black PP Deep Skirt Heat Induction,Caps/Lids,07 Packaging Component,0.14
CCA062,Lids 63-485 White Smooth Liner C1S 5-10,Caps/Lids,07 Packaging Component,0.13
CCA063,Lids 70-400 Black Smooth Deep Skirt,Caps/Lids,07 Packaging Component,0.00
CCA064,Lids 70-400 Black Ribbed Pressure Sensitive Liner,Caps/Lids,07 Packaging Component,0.20
CCA065,Lids 70-400 Black Ribbed Heat Induction Liner,Caps/Lids,07 Packaging Component,0.15
CCA066,Lids 70-400 Black Smooth,Caps/Lids,07 Packaging Component,0.14
CCA067,Lids 70-400 Orange Smooth,Caps/Lids,07 Packaging Component,0.26
CCA068,Lids 70-400 White Smooth,Caps/Lids,07 Packaging Component,0.14
CCA069,70mm Purple Smooth Lid Vented Liner,Caps/Lids,,0.27
CCA070,70mm White Smooth Lid (Parkway),Caps/Lids,,0.21
CCA071,89-400 Black Smooth (MAKE INACTIVE),Caps/Lids,,0.16
CCA072,Lids 89-400 Black Ribbed Universal Induction Seal,Caps/Lids,07 Packaging Component,0.15
CCA073,Lids 89-400 Black Ribbed (Vented Seal),Caps/Lids,07 Packaging Component,0.20
CCA074,Lids 89-400 Black Smooth SFYP Universal Liner,Caps/Lids,07 Packaging Component,0.14
CCA075,Lids 89-400 Blue Ribbed,Caps/Lids,07 Packaging Component,0.20
CCA076,Lids 89-400 Blue Polypropylene,Caps/Lids,07 Packaging Component,0.15
CCA077,Lids 89-400 Chrome Silver Smooth,Caps/Lids,07 Packaging Component,0.50
CCA078,Lids 89-400 Clear Smooth,Caps/Lids,07 Packaging Component,0.31
CCA079,Lids 89-400 Green Ribbed,Caps/Lids,07 Packaging Component,0.41
CCA080,Lids 89-400 Orange Smooth Universal FS 5-4,Caps/Lids,07 Packaging Component,0.29
CCA081,89-400 PMS-716 ribbed orange lid,Caps/Lids,,0.00
CCA082,89-400 Red Lids (Smooth),Caps/Lids,,0.11
CCA083,Lids 89-400 Red Smooth Partial vent (FS 5-4),Caps/Lids,07 Packaging Component,0.12
CCA084,89-400 Silver Lids (Smooth),Caps/Lids,,0.11
CCA085,Lids 89-400 Silver Ribbed,Caps/Lids,07 Packaging Component,0.16
CCA086,Lids 89-400 Silver Smooth Partial (FS 5-4),Caps/Lids,07 Packaging Component,0.07
CCA087,89-400 WHT Ribbed INNOVATIVE,Caps/Lids,,0.00
CCA088,Lids 89-400 White Ribbed,Caps/Lids,07 Packaging Component,0.16
CCA089,Lids 89-400 White Smooth,Caps/Lids,07 Packaging Component,0.14
CCA090,Lids 89-400 Yellow Smooth,Caps/Lids,07 Packaging Component,0.15
CCA091,Lids 89mm Black RMX,Caps/Lids,07 Packaging Component,0.01
CCA092,Lids 89-400 Black Smooth,Caps/Lids,Multiple,0.14
CCA093,Lids B38-400 White Pop Lid,Caps/Lids,07 Packaging Component,0.09
CCA094,Custom Bottle Caps/Color PMS-716,Caps/Lids,,0.00
CCA095,Lids 38mm Black,Caps/Lids,07 Packaging Component,0.00
CCA096,Lids 38mm White S-Fliptop,Caps/Lids,07 Packaging Component,0.00
CCA097,Lids 100-400 Black Smooth w/Vented Liner,Caps/Lids,07 Packaging Component,0.36
