id,detailed_type,categ_id,default_code,name,sale_ok,purchase_ok,uom_id,uom_po_id,route_ids
setup.product_template.0116,product,Components / Desiccants - Cotton,CDA017,Desiccants 1 Gram (Roll Stock),0,1,Units,Units,Buy
setup.product_template.0117,product,Components / Desiccants - Cotton,CDA020,S-5168 Desiccants Container Dry II (Loose),0,1,Units,Units,Buy
setup.product_template.0118,product,Components / Inserts,CIA042,Insert BioSchwartz Prebiotic,0,1,Units,Units,Buy
setup.product_template.0119,product,Components / Kit,CKA007,Kit BioSchwartz Garcinia 1500mg 90ct Version C,0,1,Units,Units,Buy
setup.product_template.0120,product,Components / Kit,CKA012,Kit BioSchwartz Magnesium Bisglycinate 120ct Version C,0,1,Units,Units,Buy
setup.product_template.0121,product,Components / Kit,CKA015,Kit BioSchwartz Prebiotic 60ct Version C,0,1,Units,Units,Buy
setup.product_template.0122,product,Components / Kit,CKA020,Kit BioSchwartz Turmeric Curcumin 1500mg 90ct Version C,0,1,Units,Units,Buy
setup.product_template.0123,product,Components / Kit,CKA023,Kit Genius Beauty 3x3x3,0,1,Units,Units,Buy
setup.product_template.0124,product,Components / Kit,CKA032,Kit Genius Eternal 3x3x3,0,1,Units,Units,Buy
setup.product_template.0125,product,Components / Kit,CKA050,Kit Health Nutrition Testogen 120ct,0,1,Units,Units,Buy
setup.product_template.0126,product,Components / Kit,CKA076,Kit Force Factor Lean Fire 30c,0,1,Units,Units,Buy
setup.product_template.0127,product,Components / Kit,CKA077,Kit Force Factor Alpha King 30,0,1,Units,Units,Buy
setup.product_template.0128,product,Components / Kit,CKA078,Kit Force Factor Test X 180 Alpha 120ct,0,1,Units,Units,Buy
setup.product_template.0129,product,Components / Kit,CKA079,Kit Force Factor Deer Antler V,0,1,Units,Units,Buy
setup.product_template.0130,product,Components / Kit,CKA084,Kit Swiss Research Labs Trimtone,0,1,Units,Units,Buy
setup.product_template.0131,product,Components / Kit,CKA092,Lean Sleep Folding carton CTN-SST,0,1,Units,Units,Buy
setup.product_template.0132,product,Components / Kit,CKA099,Kit Force Factor Alpha King Su 60 CT,0,1,Units,Units,Buy
setup.product_template.0133,product,Components / Kit,CKA100,Kit Force Factor Forebrain Adv,0,1,Units,Units,Buy
setup.product_template.0134,product,Components / Kit,CKA101,Kit Force Factor Forebrain Smart Nootropic,0,1,Units,Units,Buy
setup.product_template.0135,product,Components / Kit,CKA102,Kit Force Factor Lean Fire PM,0,1,Units,Units,Buy
setup.product_template.0136,product,Components / Kit,CKA104,Kit Force Factor Test X 180 Legend,0,1,Units,Units,Buy
setup.product_template.0137,product,Components / Kit,CKA106,Kit Jacked Factory ProSeries F,0,1,Units,Units,Buy
setup.product_template.0138,product,Components / Kit,CKA107,Kit JckdFctry Pro NitriOx120,0,1,Units,Units,Buy
setup.product_template.0139,product,Components / Kit,CKA109,Kit Performix SST Cleanse,0,1,Units,Units,Buy
setup.product_template.0140,product,Components / Kit,CKA121,Kit Wild Willies Beard Growth Gummies,0,1,Units,Units,Buy
setup.product_template.0141,product,Components / Kit,CKA125,Kit BioSchwartz Garcinia 1600mg 60ct Version C,0,1,Units,Units,Buy
setup.product_template.0142,product,Components / Kit,CKA128,Kit BioSchwartz Magnesium Bisglycinate 180ct Version C,0,1,Units,Units,Buy
