Part Number,Description,Category,Item Type,Unit,Replacement Cost,Vendor Lead Time,QC/Transit Lead Time,Buffer Days,Quality Control Group,Material Cost,Buyer
CBA082,Bottles 200cc White PET (38-400),Bottle (B),Components,Each,0.16,43.00,0,0,07 Packaging Component,0.16,8
CBA083,Bottles 20oz Black HDPE (89-400),Bottle (B),Components,Each,0.48,43.00,0,0,07 Packaging Component,0.48,8
CBA084,Bottles 20oz Clear PET Canyon Plastics,Bottle (B),Components,Each,0.26,52.00,0,0,07 Packaging Component,0.26,8
CBA085,Bottles 20oz Cobalt Blue PET (89-400),Bottle (B),Components,Each,0.49,52.00,0,0,07 Packaging Component,0.49,8
CBA086,Bottles 20oz White HDPE,Bottle (B),Components,Each,0.35,43.00,0,0,07 Packaging Component,0.35,8
CBA087,225 cc PET dark amber 45-400,Bottle (B),Components,Each,0.00,0.00,0,0,,0.17,8
CBA088,Bottles 225cc Dark Amber PET,Bottle (B),Components,Each,0.00,52.00,0,0,07 Packaging Component,0.00,8
CBA089,Bottles 225cc Light Amber PET,Bottle (B),Components,Each,0.28,43.00,0,0,07 Packaging Component,0.28,8
CBA090,Bottles 225cc White HDPE Round,Bottle (B),Components,Each,0.22,52.00,0,0,07 Packaging Component,0.22,8
CBA091,Bottles 230ml Black Lid SG,Caps/Lids (C),Components,Each,0.24,85.00,0,0,07 Packaging Component,0.24,8
CBA092,Bottles 230ml Clear PET SG Bottles,Bottle (B),Components,Each,0.39,52.00,0,0,07 Packaging Component,0.39,8
CBA093,Bottles 2500cc Black PET,Bottle (B),Components,Each,1.01,71.00,0,0,07 Packaging Component,1.01,8
CBA094,Bottles 2500cc White HDPE,Bottle (B),Components,Each,1.02,52.00,0,0,07 Packaging Component,1.02,8
CBA095,Bottles 2500cc White PET,Bottle (B),Components,Each,1.56,52.00,0,0,07 Packaging Component,1.56,8
CBA096,Bottles 250cc Amber Glass Mod Packer (45-400),Bottle (B),Components,Each,0.22,43.00,0,0,07 Packaging Component,0.22,8
CBA097,Bottles 250cc Black HDPE,Bottle (B),Components,Each,0.30,52.00,0,0,07 Packaging Component,0.30,8
CBA098,Bottles 250cc Clear PET Round Packer (45-400),Bottle (B),Components,Each,0.21,52.00,0,0,07 Packaging Component,0.21,8
CBA099,Bottles 250cc Cobalt Blue PET,Bottle (B),Components,Each,0.00,52.00,0,0,07 Packaging Component,0.20,8
CBA100,Bottles 250cc Dark Amber PET,Bottle (B),Components,Each,0.22,43.00,0,0,07 Packaging Component,0.22,8
CBA101,Bottles 250cc Light Amber PET,Bottle (B),Components,Each,0.29,43.00,0,0,07 Packaging Component,0.29,8
CBA102,Bottles 250cc White PET PPT,Bottle (B),Components,Each,0.22,52.00,0,0,07 Packaging Component,0.22,8
CBA103,Bottles 250cc White HDPE (45-400),Bottle (B),Components,Each,0.20,52.00,0,0,07 Packaging Component,0.20,8
CBA104,Bottles 250cc White PET,Bottle (B),Components,Each,0.24,43.00,0,0,07 Packaging Component,0.24,8
CBA105,250cc WHT PET PZ 45-400,Bottle (B),Components,Each,0.00,0.00,0,0,,0.16,8
CBA106,Bottles 25oz Black PET Alpha,Bottle (B),Components,Each,0.41,85.00,0,0,07 Packaging Component,0.41,8
CBA107,Bottles 25oz Black PET (89-400) Canyon Plastics,Bottle (B),Components,Each,0.49,43.00,0,0,07 Packaging Component,0.49,8
CBA108,25oz BLK PET 89-400,Bottle (B),Components,Each,0.00,0.00,0,0,,0.00,1
CBA109,Bottles 25oz Black HDPE Canyon Plastics,Bottle (B),Components,Each,0.51,52.00,0,0,07 Packaging Component,0.51,8
CBA110,Bottles 25oz Clear PET,Bottle (B),Components,Each,0.76,52.00,0,0,07 Packaging Component,0.76,8
CBA111,Bottles 25oz Cobalt Blue PET (89-400),Bottle (B),Components,Each,0.51,52.00,0,0,07 Packaging Component,0.51,8
CBA112,Bottles 25oz Dark Amber PET (89-400) Resilux,Bottle (B),Components,Each,0.41,57.00,0,0,07 Packaging Component,0.41,8
CBA113,Bottles 25oz Dark Amber PET Alpha,Bottle (B),Components,Each,0.45,52.00,0,0,07 Packaging Component,0.45,8
CBA114,Bottles 25oz Light Amber PET,Bottle (B),Components,Each,0.79,43.00,0,0,07 Packaging Component,0.79,8
CBA115,Bottles 25oz White PET (89-400),Bottle (B),Components,Each,0.78,78.00,0,0,07 Packaging Component,0.78,8
CBA116,Bottles 25oz White PET (89-400) Canyon Plastics,Bottle (B),Components,Each,0.52,52.00,0,0,07 Packaging Component,0.52,8
CBA117,Bottles 25oz White HDPE (89-400),Bottle (B),Components,Each,0.31,52.00,0,0,07 Packaging Component,0.31,8
CBA118,Bottles 2oz Clear PET,Bottle (B),Components,Each,0.00,52.00,0,0,07 Packaging Component,0.00,8
CBA119,2oz Clear PET Cosmo Round (20-410),Bottle (B),Components,Each,0.00,0.00,0,0,,0.00,1
CBA120,Bottles 3000cc Clear PET,Bottle (B),Components,Each,1.12,43.00,0,0,07 Packaging Component,1.12,8
CBA121,Bottles 300cc Black HDPE (45-400) Alpha Med,Bottle (B),Components,Each,0.24,52.00,0,0,07 Packaging Component,0.24,8
CBA122,Bottles 300cc Black HDPE Alpha Packaging,Bottle (B),Components,Each,0.40,52.00,0,0,07 Packaging Component,0.40,8
CBA123,Bottles 300cc Clear PET,Bottle (B),Components,Each,0.22,43.00,0,0,07 Packaging Component,0.22,8
CBA124,Bottles 300cc Cobalt Blue PET Round Packer,Bottle (B),Components,Each,0.24,43.00,0,0,07 Packaging Component,0.24,8
CBA125,Bottles 300cc Black PET,Bottle (B),Components,Each,0.41,52.00,0,0,07 Packaging Component,0.41,8
CBA126,Bottles 300cc Dark Amber PET 100% PCR Round Packer,Bottle (B),Components,Each,0.24,52.00,0,0,07 Packaging Component,0.24,8
CBA127,300cc DA Post Consumer Recycled,Bottle (B),Components,Each,0.00,0.00,0,0,,0.00,1
CBA128,Bottles 300cc Light Amber PET,Bottle (B),Components,Each,0.33,43.00,0,0,07 Packaging Component,0.33,8
CBA129,300cc White PET Packer,Bottle (B),Components,Each,0.00,0.00,0,0,,0.30,8
CBA130,Bottles 300cc White HDPE Packer,Bottle (B),Components,Each,0.29,52.00,0,0,07 Packaging Component,0.29,8
CBA131,300cc WHT PET,Bottle (B),Components,Each,0.00,0.00,0,0,,0.00,1
CBA132,Bottles 300cc White PET PPT (45-400),Bottle (B),Components,Each,0.34,52.00,0,0,07 Packaging Component,0.34,8
CBA133,Bottles 300cc White PET PZ,Bottle (B),Components,Each,0.00,52.00,0,0,07 Packaging Component,0.00,8
CBA134,Bottles 32oz Clear PET,Bottle (B),Components,Each,0.00,52.00,0,0,07 Packaging Component,0.00,8
CBA135,Bottles 32oz Black HDPE (120-400),Bottle (B),Components,Each,0.72,52.00,0,0,07 Packaging Component,0.72,8
CBA136- inactive,32oz Black HDPE (89-400)-inactive,Bottle (B),Components,Each,0.00,0.00,0,0,,0.53,8
CBA137,Bottles 32oz Black HDPE CBM (100-400),Bottle (B),Components,Each,0.55,52.00,0,0,07 Packaging Component,0.55,8
CBA138,Bottles 32oz Black PET,Bottle (B),Components,Each,0.50,52.00,0,0,07 Packaging Component,0.50,8
CBA139,Bottles 32oz Black HDPE (89-400),Bottle (B),Components,Each,0.41,43.00,0,0,07 Packaging Component,0.41,8
CBA140,Bottles 32oz Clear PET,Bottle (B),Components,Each,0.61,52.00,0,0,07 Packaging Component,0.61,8
CBA141,Bottles 32oz Light Amber PET,Bottle (B),Components,Each,0.73,43.00,0,0,07 Packaging Component,0.73,8
CBA142,Bottles 32oz Silver Metalic PET,Bottle (B),Components,Each,0.00,52.00,0,0,07 Packaging Component,0.00,8
CBA143,Bottles 32oz White HDPE Round,Bottle (B),Components,Each,0.42,43.00,0,0,07 Packaging Component,0.42,8
CBA144,Bottles 32oz White PET Canyon Plastics,Bottle (B),Components,Each,0.66,52.00,0,0,07 Packaging Component,0.66,8
CBA145,Bottles 13 1/4 x 7 3/16 x 9 1/2,Bottle (B),Components,Each,0.45,43.00,0,0,07 Packaging Component,0.45,8
CBA146,Bottles 400cc Black HDPE (45-400),Bottle (B),Components,Each,0.44,52.00,0,0,07 Packaging Component,0.44,8
CBA147,Bottles 400cc Dark Amber PET,Bottle (B),Components,Each,0.21,50.00,0,0,07 Packaging Component,0.21,8
CBA148,Bottles 400cc White HDPE,Bottle (B),Components,Each,0.29,43.00,0,0,07 Packaging Component,0.29,8
CBA149,Bottles 400cc White PET,Bottle (B),Components,Each,0.22,43.00,0,0,07 Packaging Component,0.22,8
CBA150,Bottles 43oz Black HDPE Canister (100-400),Bottle (B),Components,Each,0.50,52.00,0,0,07 Packaging Component,0.50,8
CBA153,Bottles 44oz Black HDPE,Bottle (B),Components,Each,0.53,52.00,0,0,07 Packaging Component,0.53,8
CBA154,Bottles 44oz White HDPE,Bottle (B),Components,Each,0.72,64.00,0,0,07 Packaging Component,0.72,8
CBA155,Bottles 46oz Black HDPE,Bottle (B),Components,Each,0.00,52.00,0,0,07 Packaging Component,0.00,8
CBA156,Bottles 4oz Clear PET,Bottle (B),Components,Each,0.00,52.00,0,0,07 Packaging Component,0.00,8
CBA157,Bottles 4oz White PET,Bottle (B),Components,Each,0.23,64.00,0,0,07 Packaging Component,0.23,8
CBA158,Bottles 500cc Black HDPE (53-400),Bottle (B),Components,Each,0.00,52.00,0,0,07 Packaging Component,0.00,8
CBA159,Bottles 500cc Clear PET,Bottle (B),Components,Each,0.35,43.00,0,0,07 Packaging Component,0.35,8
CBA160,Bottles 500cc Cobalt Blue PET,Bottle (B),Components,Each,0.30,52.00,0,0,07 Packaging Component,0.30,8
CBA161,500cc DA PET,Bottle (B),Components,Each,0.00,60.00,0,0,,0.00,1
