nivel_salarial,fecha_ingreso,fecha_ingreso
85.6,2004-09-01 00:00:00,1
85.6,2004-10-01 00:00:00,3
85.6,2004-10-16 00:00:00,2
85.6,2005-02-01 00:00:00,1
85.6,2005-05-16 00:00:00,1
85.6,2005-06-01 00:00:00,1
85.6,2005-07-01 00:00:00,1
85.6,2005-10-01 00:00:00,1
85.6,2005-11-01 00:00:00,1
85.6,2005-11-16 00:00:00,1
85.6,2005-12-01 00:00:00,1
85.6,2006-03-01 00:00:00,1
85.6,2006-03-16 00:00:00,1
85.6,2006-04-16 00:00:00,1
85.6,2006-05-01 00:00:00,1
85.6,2006-05-16 00:00:00,1
85.6,2006-06-01 00:00:00,1
85.6,2006-09-01 00:00:00,1
85.6,2006-11-16 00:00:00,3
85.6,2007-02-01 00:00:00,1
85.6,2007-03-01 00:00:00,1
85.6,2007-03-02 00:00:00,1
85.6,2007-04-01 00:00:00,1
85.6,2007-08-01 00:00:00,4
85.6,2007-09-16 00:00:00,1
85.6,2007-10-01 00:00:00,1
85.6,2008-02-01 00:00:00,1
85.6,2008-10-16 00:00:00,1
85.6,2008-11-16 00:00:00,1
85.6,2010-06-21 00:00:00,1
85.6,2010-11-01 00:00:00,1
85.6,2012-01-01 00:00:00,1
85.6,2012-04-16 00:00:00,1
85.6,2014-09-01 00:00:00,1
85.6,NO FECHA,13
85.7,2002-01-01 00:00:00,2
85.7,2002-02-01 00:00:00,1
85.7,2002-05-16 00:00:00,1
85.7,2002-11-01 00:00:00,1
85.7,2002-11-16 00:00:00,1
85.7,2003-03-01 00:00:00,1
85.7,2003-10-16 00:00:00,1
85.7,2003-11-16 00:00:00,1
85.7,2004-02-01 00:00:00,2
85.7,2004-03-01 00:00:00,1
85.7,2004-03-16 00:00:00,1
85.7,2004-06-01 00:00:00,1
85.7,2004-06-16 00:00:00,1
85.7,2004-08-16 00:00:00,1
85.7,2004-10-16 00:00:00,1
85.7,2005-01-01 00:00:00,2
85.7,2005-02-16 00:00:00,1
85.7,2005-04-01 00:00:00,1
85.7,2005-05-01 00:00:00,1
85.7,2005-06-01 00:00:00,1
85.7,2005-06-16 00:00:00,1
85.7,2005-07-01 00:00:00,1
85.7,2006-05-01 00:00:00,1
85.7,2007-05-01 00:00:00,1
85.7,2007-08-01 00:00:00,3
85.7,2010-11-01 00:00:00,1
85.7,2012-07-01 00:00:00,1
85.7,NO FECHA,4
